id,province,city,lat,lon
2,استان اردبیل,تازه‌کندانگوت,39.042881,47.754331
3,استان اردبیل,خلخال,37.624719,48.53135
4,استان اردبیل,کلور,37.388331,48.71865
5,استان اردبیل,جعفرآباد,39.479506,48.064117
6,استان اردبیل,گیوی,37.686836,48.337319
7,استان اردبیل,مشگین‌شهر,38.398111,47.677711
8,استان اردبیل,عنبران,38.48955,48.4337
9,استان اردبیل,کوراییم,37.952706,48.233942
10,استان اردبیل,گرمی,39.022022,48.094689
11,استان اردبیل,اردبیل,38.24848,48.30013
12,استان اردبیل,اصلاندوز,39.443139,47.405497
13,استان اردبیل,لاهرود,38.513319,47.8264
14,استان اردبیل,ابی‌بیگلو,38.283356,48.552917
15,استان اردبیل,هیر,38.079358,48.505597
16,استان اردبیل,هشجین,37.366581,48.318039
17,استان اردبیل,پارس‌آباد,39.650319,47.91355
18,استان اردبیل,سرعین,38.151875,48.071203
19,استان اردبیل,بیله سوار,39.381094,48.345625
20,استان اردبیل,رضی,38.629414,48.097964
21,استان اردبیل,نمین,38.426333,48.482625
22,استان اردبیل,نیر,38.03018,47.99274
23,استان اصفهان,علویچه,33.05745,51.088789
24,استان اصفهان,نوش‌آباد,34.08034,51.43565
25,استان اصفهان,بهارستان,32.48979,51.77608
26,استان اصفهان,اردستان,33.373131,52.368789
27,استان اصفهان,کهریزسنگ,32.624908,51.475389
28,استان اصفهان,خوراسگان,32.650831,51.7547
29,استان اصفهان,نصرآباد,35.418006,60.31615
30,استان اصفهان,تیران,32.70391,51.15253
31,استان اصفهان,خالدآباد,33.6981,51.9885
32,استان اصفهان,خمینی شهر,32.69158,51.55077
33,استان اصفهان,افوس,33.023236,50.092789
34,استان اصفهان,گلپایگان,33.464181,50.27545
35,استان اصفهان,باغ بهادران,32.37466,51.18615
36,استان اصفهان,شاهین شهر,32.86083,51.55031
37,استان اصفهان,بادرود,33.695361,51.997469
38,استان اصفهان,سده لنجان,32.37947,51.30654
39,استان اصفهان,دولت‌آباد,35.28264,59.51861
40,استان اصفهان,دولت‌آباد,32.80423,51.69494
41,استان اصفهان,خوانسار,33.2306,50.321108
42,استان اصفهان,نجف‌آباد,32.63311,51.3655
43,استان اصفهان,زیباشهر,32.381392,51.566992
44,استان اصفهان,فولادشهر,32.49126,51.40828
45,استان اصفهان,سمیرم,31.42148,51.57245
46,استان اصفهان,اصفهان,32.68056,51.65259
47,استان اصفهان,کلیشادوسودرجان,32.54225,51.53477
48,استان اصفهان,حنا,31.19997,51.7222
49,استان اصفهان,فریدون‌شهر,32.94075,50.124831
50,استان اصفهان,برزک,33.782542,51.2267
51,استان اصفهان,کرکوند,32.34271,51.44509
52,استان اصفهان,چادگان,32.77094,50.62477
53,استان اصفهان,خورزوق,32.77847,51.64773
54,استان اصفهان,جندق,34.04213,54.41431
55,استان اصفهان,سفیدشهر,34.1273,51.3499
56,استان اصفهان,گز,32.80911,51.61841
57,استان اصفهان,دولت‌آباد,35.0923,60.8774
58,استان اصفهان,مهاباد,33.524089,52.219286
59,استان اصفهان,خور,33.77547,55.08547
60,استان اصفهان,ابریشم,32.55626,51.57289
61,استان اصفهان,بویین و میاندشت,33.075739,50.163181
62,استان اصفهان,نایین,32.86261,53.08484
63,استان اصفهان,اژیه,32.43783,52.37885
64,استان اصفهان,نیاسر,33.971069,51.143511
65,استان اصفهان,سگزی,32.692572,52.122886
66,استان اصفهان,منظریه,31.944661,51.871589
67,استان اصفهان,داران,32.98419,50.41252
68,استان اصفهان,دهاقان,31.93489,51.65251
69,استان اصفهان,گلشهر,33.525136,50.488036
70,استان اصفهان,آران و بیدگل,34.07019,51.47848
71,استان اصفهان,دهق,33.1017,50.966289
72,استان اصفهان,هرند,32.56183,52.43571
73,استان اصفهان,ورنامخواست,32.35738,51.38769
74,استان اصفهان,قهدریجان,32.57717,51.45392
75,استان اصفهان,رضوانشهر,32.70422,51.10432
76,استان اصفهان,شهرضا,32.0121,51.85957
77,استان اصفهان,نطنز,33.505819,51.923169
